Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento Santo Domingo Id: 125649,$400.000,1 dormitorio,2 baños,45 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento Santo Domingo Id: 142587,$400.000,1 dormitorio,1 baño,42 m² útiles,"Santo Domingo, Centro Histórico De..."
Depto 2 Dormitorios Estilo Mariposa,$450.000,2 dormitorios,2 baños,56 m² útiles,"Morandé 707, Centro Histórico De S..."
Departamento Mario Kreutzberger Id: 132109,$275.000,1 dormitorio,1 baño,38 m² útiles,"Mario Kreutzberger, Centro Históri..."
Departamento Tucapel Jiménez Id: 142849,$650.000,2 dormitorios,2 baños,65 m² útiles,"Tucapel Jiménez, Centro Histórico ..."
Departamento Avenida Manuel Rodríguez Id: 112749,$295.000,1 dormitorio,1 baño,29 m² útiles,"Avenida Manuel Rodríguez, Centro H..."
Arriendo Dpto Calle Amunategui Cod. S124,$300.000,1 dormitorio,1 baño,34 m² útiles,"Amunátegui 695, Centro Histórico D..."
Departamento Avenida Mapocho Id: 138238,$276.000,1 dormitorio,1 baño,29 m² útiles,"Avenida Mapocho, Centro Histórico ..."
Departamento Monjitas Id: 142664,$360.000,1 dormitorio,1 baño,36 m² útiles,"Monjitas, Centro Histórico De Sant..."
Departamento Máximo Humbser Id: 92334,$250.000,1 dormitorio,1 baño,21 m² útiles,"Máximo Humbser, Centro Histórico D..."
Departamento General Mackenna Id: 142904,$380.000,2 dormitorios,2 baños,55 m² útiles,"General Mackenna, Centro Histórico..."
"Departamento 35m2, Un Ambiente, Miraflores / Santo Domingo",$300.000,1 dormitorio,1 baño,35 m² útiles,"Miraflores 560, Centro Histórico D..."
