Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Edificio Nicasio Retamales Vista Sur Piso 14,$235.000,1 dormitorio,1 baño,26 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Cnel. Souper Vista Sur Piso 7,$390.000,2 dormitorios,2 baños,56 m² útiles,"Cnel. Souper 4515, Metro Ecuador, ..."
Edificio Belisario Prats (1 Est.) Vista Sur Piso 4,$350.000,1 dormitorio,1 baño,34 m² útiles,"Belisario Prats 1850, Plaza Chacab..."
Edificio Nicasio Retamales (1 Bod.) Vista Sur Piso 25,$280.000,2 dormitorios,1 baño,44 m² útiles,"Nicasio Retamales 115, Universidad..."
Edificio Av. Inglaterra Piso 6,$390.000,2 dormitorios,2 baños,68 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio Colón Vista Oriente Piso 7,$355.000,2 dormitorios,1 baño,40 m² útiles,"Colón 6435, Lo Ovalle, La Cisterna"
Edificio Franklin Vista Nororiente Piso 11,$350.000,1 dormitorio,1 baño,34 m² útiles,"Franklin 160, Bogotá - Sierra Bell..."
Edificio Hipódromo Chile Vista Nororiente Piso 3,$280.000,1 dormitorio,1 baño,33 m² útiles,"Hipódromo Chile 1673, Plaza Chacab..."
Edificio Lia Aguirre Vista Nororiente Piso 7,$300.000,1 dormitorio,1 baño,31 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Av. Vicuña Mackenna Pte. Piso 12,$310.000,1 dormitorio,1 baño,36 m² útiles,"Av. Vicuña Mackenna Pte. 7189, Pla..."
Edificio Lia Aguirre (1 Est. 1 Bod.) Vista Oriente Piso 10,$475.000,2 dormitorios,2 baños,46 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Av. Inglaterra (1 Est.) Piso 7,$420.000,2 dormitorios,2 baños,51 m² útiles,"Av. Inglaterra 1280, Hospitales, I..."
Edificio María Auxiliadora (1 Est.) Vista Oriente Piso 16,$340.000,2 dormitorios,1 baño,34 m² útiles,"María Auxiliadora 721, El Llano, S..."
Edificio Lia Aguirre Vista Sur Piso 3,$250.000,1 dormitorio,1 baño,16 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Av. Departamental Vista Poniente Piso 1,$250.000,1 dormitorio,1 baño,32 m² útiles,"Av. Departamental 915, Lo Vial, Sa..."
Edificio Gral. José Artigas Vista Surponiente Piso 2,$690.000,2 dormitorios,2 baños,58 m² útiles,"Gral. José Artigas 3082, Plaza Ñuñ..."
Edificio Lia Aguirre Vista Poniente Piso 11,$320.000,1 dormitorio,1 baño,31 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Radal Del Obispo Francisco Anabalón Duarte Vista,$310.000,2 dormitorios,1 baño,43 m² útiles,Radal Del Obispo Francisco Anabaló...
Edificio Coquimbo (1 Bod.) Vista Sur Piso 3,$395.000,3 dormitorios,1 baño,48 m² útiles,"Coquimbo 56, Barrio Diez De Julio,..."
Edificio Lia Aguirre Vista Oriente Piso 14,$320.000,1 dormitorio,1 baño,30 m² útiles,"Lia Aguirre 155, Plaza Vespucio, L..."
Edificio Primera Avenida (1 Bod.) Vista Sur Piso 17,$300.000,1 dormitorio,1 baño,31 m² útiles,"Primera Avenida 1336, Ciudad Del N..."
Edificio Av. Libertador Bernardo O'higgins Vista Oriente Pi,$260.000,1 dormitorio,1 baño,31 m² útiles,Av. Libertador Bernardo O'higgins ...
Edificio Av. Obispo Manuel Umaña Vista Norte Piso 2,$210.000,1 dormitorio,1 baño,25 m² útiles,"Av. Obispo Manuel Umaña 33, Univer..."
Edificio Eyzaguirre (1 Est. 1 Bod.) Vista Poniente Piso 12,$370.000,2 dormitorios,1 baño,33 m² útiles,"Eyzaguirre 766, San Diego, Santiago"
Edificio Linares (1 Est. 1 Bod.) Vista Surponiente Piso 2,$860.000,1 dormitorio,2 baños,61 m² útiles,"Linares 1415, Manuel Montt, Provid..."
Edificio San Ignacio De Loyola (1 Bod.) Vista Norte Piso 2,$250.000,1 dormitorio,1 baño,18 m² útiles,"San Ignacio De Loyola 1498, Parque..."
Edificio Montau Vista Surponiente Piso 12,$265.000,1 dormitorio,1 baño,27 m² útiles,"Montau 1509, Plaza Chacabuco, Inde..."
Edificio Carlos Pezoa Véliz (1 Est. 1 Bod.) Piso 27,$340.000,2 dormitorios,1 baño,44 m² útiles,"Carlos Pezoa Véliz 143, Metro Ecua..."
Edificio Montau Vista Sur Piso 14,$270.000,1 dormitorio,1 baño,30 m² útiles,"Montau 1509, Plaza Chacabuco, Inde..."
Edificio Nataniel Cox Piso 17,$295.000,1 dormitorio,1 baño,28 m² útiles,"Nataniel Cox 135, Bulnes, Santiago"
Edificio Gaspar De Orense Vista Norte Piso 12,$320.000,2 dormitorios,1 baño,42 m² útiles,"Gaspar De Orense 897, Blanqueado, ..."
Edificio Gaspar De Orense Vista Sur Piso 5,$320.000,2 dormitorios,1 baño,36 m² útiles,"Gaspar De Orense 897, Blanqueado, ..."
Edificio Hipódromo Chile Vista Oriente Piso 22,$305.000,1 dormitorio,1 baño,33 m² útiles,"Hipódromo Chile 1876, Plaza Chacab..."
Edificio Av. Diego Portales (1 Est.) Vista Suroriente Piso,$450.000,3 dormitorios,1 baño,51 m² útiles,"Av. Diego Portales 1016, Los Quill..."
Edificio Toro Mazote Piso 8,$270.000,1 dormitorio,1 baño,30 m² útiles,"Toro Mazote 64, San Alberto Hurtad..."
Edificio Radal Vista Oriente Piso 20,$250.000,1 dormitorio,1 baño,28 m² útiles,"Radal 018, Metro Ecuador, Estación..."
